,malformed_label,correct_label
1068,Nebraska,Nebraskan
1069,L,LINCOLN
1070,NEBR,NEBRASKA
1071,Fr,Fremont Island
1072,Fair,Fairbury
1073,End,Endicott
1074,Richardson,Richardson Counties
1075,Wood,Woodbury
1076,Nebraska,Nebraskas
1077,O,OMAHA
1078,o,omaha
1079,ne,nebraska
1080,Nebraska,Nebraskas
1081,ne,nebraska
1082,ne,nebraska
1083,fl,florida
1084,Nebraska Iowa,Nebraska Iowa
1085,Glen,Glenwood
1086,U S,U.S.
1087,Chad,Chadron
1088,H,Hyannis
1089,NEBR,NEBRASKA
1090,U S,U.S.
1091,El,ElDorado
1092,Nebraska,Nebraskas
1093,Stewart,Stewartville
1094,ne,nebraska
1095,o,omaha
1096,Texas Nebraska,Texas Nebraska
1097,ne,nebraska
1098,Nebraska,Nebraskas
1099,NEBR,NEBRASKA
1100,O,OMAHA
1101,Scott,Scottsbluff
1102,Cat,Cattle Drive Lincoln
1103,Clare,Claremore
1104,Nebraska,Nebraskas
1105,Bo,Bomgaars
1106,Panama City FL,Panama City FL
1107,NEBR,NEBRASKA
1108,Nebraska,Nebraskan
1109,Fr,Fremont
1110,El,Elkhorn River
1111,NEBR,NEBRASKA
1112,Nebraska,Nebraskas
1113,NEBR,NEBRASKA
1114,NEBR,NEBRASKA
1115,Nebraska,Nebraskas
1116,NEBR,NEBRASKA
1117,o,omaha
1118,Sc,Schuyler
1119,NEBR,NEBRASKA
1120,South,SouthDakota
1121,fl,florida
1122,NEBR,NEBRASKA
1123,ne,nebraska
1124,M,Mx
1125,ME,MEXICO
1126,ME,MEXICO
1127,Mexico,Mexicos
1128,Mexico,Mexicos
1129,LosA,LosAngeles
1130,CD,CDMX
1131,CH,CHIAPAS
1132,ME,MEXICO
1133,CD,CDMX
1134,CD,CDMX
1135,More,Morelos
1136,P,Puebla
1137,Oax,Oaxaca
1138,P,Puebla
1139,Mexico,Mexicos
1140,CD,CDMX
1141,ME,MEXICO
1142,Mexico,Mexicos
1143,More,Morelos
1144,Pa,Paredon
1145,Mexico,Mexicos
1146,Mexico,Mexicos
1147,L A,L.A.
1148,U S,U.S.
1149,Mexico,Mexico Citys
1150,Mexico,Mexicos
1151,Mexico,Mexicos
1152,CD,CDMX
1153,M,Mx
1154,Mexico,Mexicos
1155,Chi,Chimalpopoca textile factory
1156,Puerto,PuertoRico
1157,Mexico,Mexicos
1158,Mexico,Mexicos
1159,More,Morelos
1160,sa,sacramento
1161,Mexico,Mexicos
1162,Mexico,Mexico.
1163,Mexico,Mexicos
1164,Mexico,Mexicos
1165,Mexico,Mexico-
1166,Colegio Enrique Re,Colegio Enrique Rebsamen
1167,me,mexicocity
1168,Mexico,Mexicos
1169,Mexico,Mexicos
1170,Houston Texas,Houston Texas
1171,Mexico,Mexicos
1172,ME,MEXICO
1173,Bo,Bolivar
1174,Mexico,Mexicos
1175,Co,Cohetzala
1176,Mexico,Mexicos
1177,More,Morelos
1178,Mexico,Mexicos
1179,L A,L.A.
1180,P R,P.R.
1181,U S,U.S.
1182,Mexico,Mexicos
1183,Mexico,Mexicos
1184,More,Morelos
1185,Mexico,Mexicos
1186,I,Izucar de Matamoros
1187,Mexico City,Mexico Citys
1188,Mexico,Mexicos
1189,Mexico,Mexicos
1190,ME,MEXICO
1191,Mexico,Mexicos
1192,Mexico,MexicoCity
1193,Mexico,Mexicos
1194,Los,LosTopos
1195,Mexico,Mexicos
1196,ME,MEXICO CITY
1197,Mexico,Mexicos
1198,Mexico,Mexicos
1199,ME,MEXICO
1200,Mexico,Mexicos
1201,Cuerna,Cuernavaca
1202,ME,MEXICO
1203,ME,MEXICO
1204,Mexico,MexicoCity
1205,Mexico,Mexicos
1206,At,Atzitzihuacan
1207,Tea del Vol,Tetela del Volcan
1208,ME,MEXICO CITY
1209,More,Morelos
1210,Mexico,Mexicos
1211,Mexico,Mexicos
1212,Mexico,Mexicos
1213,PUERTO R,PUERTO RICO
1214,ME,MEXICO
1215,ME,MEXICO
1216,Mexico,Mexico.ἰD
1217,Mexico,Mexicos
1218,Mexico,Mexicos
1219,Mexico,MexicoCity
1220,Mexico,Mexicos
1221,Mexico,Mexicos
1222,More,Morelos
1223,Mexico,Mexicos
1224,Mexico,Mexicos
1225,Laredo Texas,Laredo Texas
1226,Cha,Chapultepec
1227,CD,CDMX
1228,M,MX
1229,Mexico,Mexicos
1230,M,MX
1231,Mexico,Mexicos
1232,Mexico,Mexicos
1233,me,mexicocity
1234,Mexico,MexicoCity
1235,Mexico,Mexicos
1236,Mexico,MexicoCity
1237,Mexico,Mexicos
1238,Mexico,Mexicos
1239,mexi,mexico city
1240,Co,Coyoacan
1241,ME,MEXICO
1242,Mexico,Mexico Citys
1243,Mexico,Mexicos
1244,Mexico,Mexicos
1245,Mexico,Mexicos
1246,Mexico,Mexicos
1247,Puerto Rico Mexico,Puerto Rico Mexico
1248,Chi,Chiapas
1249,Mexico,Mexicos
1250,More,Morelos
1251,El,Ellicott City
1252,El,Ellicott
1253,El,Ellicott City
1254,Liberty,Libertytown
1255,El,Ellicott City
1256,El,Ellicott City
1257,El,Ellicott City
1258,El,Ellicott
1259,El,Ellicott City
1260,El,Ellicott City
1261,El,Ellicott City
1262,El,Ellicott City
1263,El,Ellicott City
1264,El,Ellicott City
1265,El,Ellicott City
1266,El,Ellicott City
1267,El,Ellicott City
1268,El,Ellicott City
1269,El,EllicottCity
1270,El,Ellicott City
1271,El,Ellicott City
1272,El,Ellicott City
1273,El,Ellicott City
1274,El,EllicottCity
1275,El,Ellicott City
1276,El,Ellicott City
1277,El,Ellicott City
1278,El,Ellicott City
1279,El,Ellicott City
1280,El,Ellicott City
1281,El,Ellicott City
1282,Maryland El,Marylands Ellicott City
1283,El,EllicottCity
1284,El,Ellicott City
1285,El,Ellicott City
1286,El,Ellicot City
1287,El,Ellicott City
1288,Pat,Patapsco River
1289,Maryland El,Maryland Ellicott City
1290,El,Ellicott City
1291,Montgomery,MontgomeryCounty
1292,El,Ellicott City
1293,El,Ellicott City
1294,Pat,Patapsco River
1295,El,Ellicott City
1296,El,Ellicott City
1297,Ch,Cheverly
1298,El,Ellicott City
1299,Maryland El,Marylands Ellicott City
1300,El,Ellicott City
1301,El,EllicottCity
1302,El,Ellicott City
1303,El,Ellicott City
1304,El,Ellicott City
1305,El,Ellicott
1306,El,Ellicott City
1307,Pat,Patapsco River
1308,El,Ellicott City
1309,El,Ellicott City
1310,El,Ellicott City
1311,El,Ellicott City
1312,El,Ellicott City
1313,El,Ellicott City
1314,MAR,MARYLAND
1315,El,Ellicott City
1316,El,Ellicot
1317,El,Ellicott City
1318,El,Ellicott City
1319,El,Ellicott City
1320,El,Ellicott City
1321,El,Ellicott City
1322,El,Ellicott
1323,El,Ellicott City
1324,El,Ellicott City
1325,El,Ellicott City
1326,El,Ellicott City
1327,El,Ellicott City
1328,El,Ellicott City
1329,El,Ellicott City
1330,El,Ellicott City
1331,Maryland Patsco River,Marylands Patapsco River
1332,El,Ellicott City
1333,El,Ellicott City
1334,El,Ellicott
1335,El,Ellicott City
1336,El,Ellicott City
1337,MA,MARYLAND
1338,El,Ellicott City
1339,El,Ellicott City
1340,El,Ellicott City
1341,El,Ellicott City
1342,El,Ellicott City
1343,Maryland USA,Maryland USA
1344,El,Ellicott City
1345,El,Ellicott City
1346,El,Ellicott City
1347,El,EllicottCity
1348,El,EllicottCity
1349,El,Ellicott City
1350,El,Ellicott City
1351,El,Ellicott City
1352,El,Ellicott City
1353,El,Ellicott City
1354,Pat,Patapsco River
1355,El,Ellicott City
1356,Baltimore,Baltimore-
1357,El,EllicottCity
1358,El,Ellicott
1359,El,Ellicott
1360,PENNSY,PENNSYLVANIA
1361,DE,DELAWARE
1362,MAR,MARYLAND
1363,VI,VIRGINIA
1364,El,Ellicott City
1365,El,Ellicott City
1366,El,Ellicott City
1367,El,Ellicott City
1368,El,Ellicott City
1369,El,Ellicott City
1370,VI,VIRGINIA
1371,MAR,MARYLAND
1372,DE,DELAWARE
1373,El,Ellicott City
1374,El,Ellicott City
1375,El,Ellicott City
1376,MA,MARYLAND
1377,El,Ellicott
1378,El,Ellicott City
1379,El,Ellicott City
1380,El,Ellicott City
1381,F,Fauquier
1382,Lou,Loudoun
1383,El,Ellicott City
1384,El,Ellicott City
1385,El,Ellicott City
1386,Ellic,Ellicott City
1387,El,EllicottCity
1388,El,Ellicott City
1389,El,EllicottCity
1390,El,Ellicott City
1391,Lou,Loudoun
1392,LA,LANSDOWNE
1393,P,PURCELLVILLE
1394,MI,MIDDLEBURG
1395,O,OATLANDS
1396,B,BELMONT
1397,H,HAMILTON
1398,SA,SAINT LOUIS
1399,L,LUCKETTS
1400,P,PHILOMONT
1401,L,LINCOLN
1402,H,HUGHESVILLE
1403,El,Ellicott City
1404,El,Ellicott City
1405,El,Ellicott City
1406,El,Ellicott City
1407,U,U.S.
1408,El,Ellicott City
1409,El,Ellicott City
1410,El,Ellicott City
1411,Prince,Prince Georges
1412,El,Ellicott City
1413,El,Ellicott City
1414,El,Ellicott City
1415,El,Ellicott City
1416,West,West Midlands
1417,El,Ellicott
1418,El,Ellicott City
1419,El,Ellicott City
1420,El,Ellicott
1421,Ellic,Ellicott City
1422,El,Ellicott City
1423,Williams,Williamsport
1424,MAR,MARYLAND
1425,Mexico,Mexicos
1426,U S,U.S.
1427,V,Varadero
1428,Cay Co,Cayo Coco
1429,St,StThomas
1430,Saint Barthel,Saint Barthelemy
1431,Mexico,Mexicos
1432,U S,U.S.
1433,Far,Farad
1434,SouthC,SouthCarolina
1435,B,Broward
1436,ho,houston
1437,texa,texas
1438,g,georgia
1439,mi,miami
1440,Alt,Altanta
1441,Sal,Salamis
1442,Malka,Malkajgiri
1443,Key,KeyWest
1444,MonroeC,MonroeCounty
1445,Middle,Middleburg
1446,Desoto County FL,Desoto County FL
1447,fl,florida
1448,I,Immokalee
1449,Tara,Tarapaca
1450,Tall,Talladega
1451,Collier Co,Collier Co.
1452,302 Magnolia Street West,302 Magnolia Street West. 8
1453,StT,StThomas
1454,G,Gatorama
1455,C,Cayman Compass
1456,ST CR,ST. CROIX
1457,St,Stlouis
1458,St. Petersburg,St. Petersburgs
1459,New York,New Yorks
1460,fl,florida
1461,PuertoR,PuertoRico
1462,Monong,Monongahela
1463,UnitedS,UnitedStates
1464,StM,StMartin
1465,St Ma,St Maarten
1466,East Foothill,East Foothills
1467,Kala,Kalaburgi
1468,us,usvirginislands
1469,Monroe,Monroe Co.
1470,St Barthel,St. Barthelemy
1471,U S,U.S.
1472,Key,KeyWest
1473,SA J,SAN JUAN
1474,B,Brevard
1475,Capitol,CapitolHill
1476,Carr,Carribean
1477,Ko,Kona
1478,Call,Callahan
1479,Cuba,Cubas
1480,Mar,Margate
1481,Rivers,Riverstone
1482,N,NRG Park
1483,OrangeC,OrangeCounty
1484,U S,U.S.
1485,B,BVI
1486,St Bart,St Barts
1487,Puerto Rico,Puerto Rico~
1488,StM,StMartin
1489,Frank,Frankfort
1490,o,oaxaca
1491,A,AZ
1492,fl,florida
1493,St,StMaarten
1494,St. Bart,St. Barts
1495,StJ,StJohn
1496,Sa,Satilla River
1497,Good,Goodland
1498,Harris County,Harris Countys
1499,West,WestPalmBeach
1500,Puerto,PuertoRico
1501,CO,COLUMBIA
1502,S C,S.C.
1503,Nassau,Nassau county
1504,SaintM,SaintMartin
1505,Key,Key West
1506,Columbia,Columbia Counties
1507,U S. Virgin Islands,U.S. Virgin Islands
1508,ma,marcoisland
1509,MI,MIAMI
1510,EC,ECUADOR
1511,EC,ECUADOR
1512,Ecuador,Ecuadors
1513,Ecuador,Ecuadors
1514,U S,U.S.
1515,Ecuador,Ecuadoran
1516,e,ecuador
1517,P,Pedernales
1518,EC,ECUADOR
1519,Ecuador,Ecuadors
1520,EC,ECUADOR
1521,EC,ECUADOR
1522,paki,pakistan
1523,Ecuador,Ecuadors
1524,Ecuador,Ecuadors
1525,Porto,Portoviejo
1526,EC,ECUADOR
1527,Ecuador,Ecuadors
1528,Ecuador,Ecuadors
1529,Ecuador,Ecuadors
1530,G,GUAYAQUIL
1531,Porto,Portoviejo
1532,Ecuador,Ecuadors
1533,EC,ECUADOR
1534,is,israel
1535,Japan,Japans
1536,Ecuador,Ecuadors
1537,Ecuador,Ecuadors
1538,Ecuador,Ecuadors
1539,To,Tohoku
1540,Ku,Kumamoto
1541,japa,japan
1542,Can,Canoa
1543,Porto,Portoviejo
1544,Ecuador,Ecuadors
1545,Porto,Portoviejo
1546,e,ecuador
1547,e,ecuador
1548,Can,Canoa
1549,e,ecuador
1550,P,Pedernales
1551,P,Pedernales
1552,EC,ECUADOR
1553,p,pakistan
1554,Ecuador,Ecuadors
1555,Ecuador,Ecuadors
1556,Ecuador,Ecuadors
1557,Ecuador,Ecuadors
1558,EC,ECUADOR
1559,EC,ECUADOR
1560,Ecuador,Ecuadors
1561,Co,Coquimbo
1562,EC,ECUADOR
1563,Ecuador,Ecuadors
1564,Ecuador,Ecuadors
1565,Man,Manabi
1566,P,Pedernales
1567,EC,ECUADOR
1568,EC,ECUADOR
1569,P,Pedernales
1570,Can,Canoa
1571,Man,Manta
1572,EC,ECUADOR
1573,Guayaq,Guayaquil
1574,Mu,Muisne
1575,Man,Manabi
1576,Ecuador,Ecuadors
1577,Mexico,Mexico+(tsunami
1578,e,ecuador
1579,Ecuador,Ecuadors
1580,EC,ECUADOR
1581,e,ecuador
1582,Ecuador,Ecuadors
1583,P,Pedernales
1584,Isa,Isangel
1585,Q,QUITO
1586,Man,Manabi
1587,Ecuador,Ecuadors
1588,Ecuador,Ecuadors
1589,US,US west coast
1590,EC,ECUADOR
1591,Ecuador,Ecuadors
1592,Ecuador,Ecuadors
1593,Sal,Salinas
1594,E,Ecuad
1595,Ta,Tabuga
1596,Cam,Camarones
1597,Jam,Jama
1598,Guay,Guayaquil
1599,Ecuador,Ecuadors
1600,Ecuador,Ecuador´s
1601,Man,Manabí
1602,Ecuador,Ecuadors
1603,Q,QUITO
1604,Ecuador,Ecuadors
1605,Ecuador,Ecuadors
1606,MA,MANTA
1607,Man,Manabi
1608,Guayaq,Guayaqu
1609,Ecuador,Ecuadors
1610,Porto,Portoviejo
1611,Ecuador,Ecuadors
1612,Ecuador,Ecuadors
1613,Ecuador,Ecuadors
1614,Ecuador,Ecuadors
1615,Ecuador,Ecuadors
1616,Ecuador,Ecuadors
1617,P,Pedernales
1618,Yo,Yokota
1619,e,ecuador
1620,C,Crucita
1621,Man,Manta
1622,Ecuador,Ecuadors
1623,Ecuador,Ecuadors
1624,e,ecuador
1625,Ecuador,Ecuadors
1626,Man,Manabí
1627,e,ecuador
1628,e,ecuador
1629,Chipinge,Chipinge.
1630,Z,Zimre Park
1631,Chi,Chikwawa
1632,Um,Umvumvumvu Bridge
1633,Biri,Biriri High School
1634,N,Nyanyadzi High School
1635,Mozambique,Mozambiques
1636,Man,Manicaland
1637,Chi,Chikwawa
1638,Mozambique Beira,Mozambique Beira
1639,Chi,Chimanimani-
1640,Phalo,Phalombe district
1641,Many,Manyame Airbase
1642,Chi,Chimanimani
1643,Ng,Ngangu Township
1644,Chi,Chimanimani
1645,Chi,Chimanimani
1646,Z,ZIMBABWE
1647,Chi,Chimanimani
1648,Ng,Ngangu
1649,Be,Beira
1650,Man,Manicaland
1651,Chi,Chimanimani
1652,Mu,Mutare
1653,Chi,Chimanimani
1654,Chi,Chimanimani
1655,ch,chimanimani
1656,be,beira
1657,Z,Zim
1658,E,Eswatini
1659,60 Speke Avenue Hara,60 Speke Avenue Harare
1660,Bula,Bulawayo
1661,Ka,Kampepuza
1662,Man,Manicaland
1663,B,Buzi district
1664,Mu,Mutare
1665,Chi,Chimanimani
1666,Chi,Chimanimani
1667,Chi,Chimanimani
1668,Chi,Chimanimani
1669,bula,bulawayo
1670,Chi,Chimanimani
1671,Chi,Chimanimani
1672,As,Asakhe
1673,Mo,Mozambican
1674,B,Bizu
1675,Chi,Chimanini
1676,Be,Beira
1677,Nham,Nhamatanda
1678,Chi,Chimanimani
1679,Man,Manicaland
1680,Ma,Masvingo
1681,Chi,Chimanimani
1682,B,Buzi
1683,Ngang,Ngangu
1684,T,Tica
1685,Map,Maputo
1686,Chi,Chimanimani
1687,Chi,Chimanimani
1688,Mu,Mukuhlani
1689,Chi,Chimanimani
1690,Man,Manicaland
1691,Mu,Mutare
1692,Esp,Espungabera
1693,Zimbabwe Mozambique,Zimbabwe Mozambique
1694,Mo,Mozambican
1695,Man,Manicaland
1696,Zimbabwe,Zimbabweans
1697,Chi,Chimanimani
1698,Chi,Chimanimani
1699,R,Rusape
1700,Chi,Chimanimani
1701,Chi,Chimanimani
1702,Zimbabwe,Zimbabweans
1703,Z,Zim
1704,Z,Zambézia
1705,Te,Tete
1706,As,Asakhe
1707,V,Vumba
1708,Chi,Chimanimani
1709,Sofa,Sofala
1710,Te,Tete
1711,z,zimbabwe
1712,Chi,Chimoio
1713,Chi,Chimanimani
1714,Mozambique,Mozambiques
1715,Chi,Chimanimani
1716,Z,Zimba
1717,Mt,Mtoko
1718,Mt,Mtoko
1719,Southern Africa,Southern Africas
1720,Mozambique,Mozambiquen
1721,Chi,Chimanimani
1722,Ma,Makhanga
1723,moz,mozambique
1724,Chi,Chimanimani
1725,Tanzania,Tanzanian
1726,Chi,Chimanimani
1727,Bang,Bangula
1728,Ball,Ballito
1729,Chi,Chimanimani
1730,Mac,Macurungo
1731,B,Biera
1732,Zimbabwe,Zimbabweans
1733,N,Nyika
1734,Malawi Mozambique,Malawi Mozambique
1735,z,zimbabwe
1736,Map,Maputo
1737,Malawi Mozambique,Malawi Mozambique
1738,Chiko,Chikomba District
1739,Mu,Murambinda
1740,M,Mwerahari River
1741,Chi,Chimanimani
1742,Chi,Chimanimani
1743,Chi,Chimanimani
1744,Ng,Ngangu
1745,Chi,Chimanimani
1746,Chi,Chimanimani
1747,Chip,Chipinge
1748,Chi,Chimanimani
1749,Map,Maputo
1750,Mozambique Goosa,Mozambiques Gorongosa district
1751,Chi,Chimanimani
1752,Mnan,Mnangagwa
1753,Mu,Musikavanhu
1754,Chip,Chipinge
1755,Mu,Mutimurefu
1756,Man,Manicaland
1757,Ma,Masvingo
1758,Mata,Matabeleland
1759,Malawi,Malawis
1760,Man,Manicaland
1761,Chi,Chimanimani
1762,Chi,Chimanimani
1763,So,Sofala
1764,So,Sofala
1765,Man,Manica
1766,Chi,Chikwawa
1767,ma,malawi
1768,Nham,Nhampoca
1769,Dom,Dombe
1770,Man,Manica
1771,Malawi,Malawi-
1772,Mu,Murambinda
1773,Chi,Chimanimani
1774,Chi,Chimanimani
1775,Nyah,Nyahonde
1776,Chi,Chimanimani
1777,Manical,Manicaland
1778,Mozambique,Mozambiques
1779,Chi,Chimanimani
1780,ch,chimanimani
1781,Mu,Mutasa
1782,Man,Manicaland
1783,Chi,Chimanimani
1784,Sofa,Sofala
1785,Z,Zim
1786,U S,U.S.
1787,Manical,Manicaland
1788,Sofa,Sofala
1789,Mu,Mutare
1790,Be,Beira City
1791,Chi,Chimanimani
1792,Hara,Harare
1793,Chi,Chimanimani
1794,Chi,Chimanimani
1795,Chi,Chimanimani
1796,Chi,Chimanimani
1797,Chi,Chimanimani
1798,Mozambique Mozambique,Mozambique Mozambique
1799,Mu,Munhinga river
1800,Dom,Dombe
1801,Su,Sussundenga
1802,Man,Manica
1803,Chi,Chimanimani
1804,Man,Manicaland
1805,Chi,Chimanimani
1806,Be,Beira
1807,B,Blantyre
1808,Ph,Phalombe
1809,Chi,Chimanimani
1810,Bula,Bulawayo
1811,Chip,Chipinge
1812,Bula,Bulawayo
1813,Chi,Chimanimani
1814,Be,Beira
1815,Sofa,Sofala
1816,To,Tokwe
1817,Mu,Mukosi
1818,Ching,Chingwizi
1819,Chi,Chimanimani
1820,B,BEIRA
1821,Mu,Mutare
1822,E,Espungabera
1823,Zimbabwe,Zimbabweans
1824,Chi,Chimanimani
1825,Mozambique,Mozambiques
1826,Manical,Manicaland
1827,Man,Manicaland
1828,Man,Manicaland
1829,Be,Beira
1830,Chi,Chimanimani
1831,Charles,Charleswood
1832,E,Estoril
1833,Chi,Chimanimani
1834,Chi,Chimanimani
1835,Be,Beira Airport
1836,Ph,Phalombe
1837,N,Nhamatanda
1838,Ph,Phalombe
1839,Chi,Chimanimani
1840,Chi,Chimanimani
1841,Chi,Chimanimani
1842,Chi,Chimanimani-
1843,Ng,Ngangu
1844,Chi,Chikukwa
1845,Chired,Chiredzi district
1846,Man,Manicaland
1847,Chi,Chimanimani
1848,Man,Manicaland
1849,Chi,Chimanimani
1850,Mu,Mutare
1851,Zimbabwe,Zimbabweans
1852,Chi,Chimanimani
1853,Chi,Chimanimani
1854,Z,ZIMBABWE
1855,Chi,Chimanimani
1856,Be,Beira
1857,Chi,Chiwenga
1858,Chi,Chimanimani
1859,G,Gweru
1860,Chi,Chiwalo
1861,Phalo,Phalombe
1862,Chi,Chimanimani
1863,Chiku,Chikukwa
1864,Mo,Mozambican
1865,Zimbabwe,Zimbabwean
1866,Mozambique Orlando,Mozambique Orlando
1867,Bula,Bulawayo
1868,45 Moat Ave Hills,45 Moffat Ave Hillside
1869,Chi,Chimanimani
1870,U S,U.S.
1871,Man,Manicaland
1872,z,zimbabwe
1873,Bula,Bulawayo
1874,Hara,Harare
1875,Sofa,Sofala
1876,Man,Manicaland
1877,Chi,Chimanimani
1878,Ma,Masvingo
1879,Chi,Chimanimani
1880,Mu,Mutare
1881,Chi,Chimanimani
1882,Mhak,Mhakwe
1883,N,Nyanyadzi
1884,Chi,Chimanimani
1885,Chi,Chimanimani
1886,Man,Manicaland
1887,Zimbabwe,Zimbabwes
1888,Chi,Chimanimani
1889,Beira,Beira city
1890,Mu,Mutare
1891,Chi,Chimanimani
1892,Man,Manicaland
1893,Chi,Chimanimani
1894,Ng,Ngangu
1895,Chi,Chimanimani
1896,Mu,Mutare
1897,Be,Beira
1898,Mozambique,Mozambiques
1899,Chi,Chimanimani
1900,Chi,Chimanimani
1901,Fort M,Fort McMurray
1902,Fort,FortMcMurray
1903,Fort M,Fort McMurray
1904,Fort M,Fort McMurray Wildfire
1905,Fort M,Fort McMurray
1906,Fort M,Fort McMurray
1907,Fort M,Fort McMurray
1908,Fort M,Fort McMurray
1909,Fort M,Fort McMurray
1910,Fort M,Fort McMurray
1911,Fort M,Fort McMurray
1912,Alberta,Albertas
1913,Fort M,Fort McMurray
1914,Fort M,Fort McMurray
1915,Alberta,Albertan
1916,Fort M,Fort McMurray
1917,Fort M,Fort McMurray
1918,Manitoba Ontario,Manitoba Ontario
1919,Fort M,Fort McMurray
1920,Fort,FortMcMurray
1921,Fort M,Fort McMurray
1922,M,McMurray wildfire
1923,Fort,FortMcMurray
1924,Fort M,Fort McMurray
1925,Fort M,Fort McMurray
1926,Fort M,Fort McMurray
1927,At,Athabaskan River
1928,Fort,FortMcMurray
1929,Fort M,Fort McMurray
1930,Fort,FortMcMurray
1931,Red,Redcross
1932,Fort M,Fort McMurray
1933,Fort,FortMcMurray
1934,Fort,FortMcMurray
1935,F,FtMcMurray
1936,Alberta,Albertan
1937,Fort,Fort Mac
1938,Alberta,Albertas
1939,Fort M,Fort McMurray
1940,Fort M,Fort McMurray
1941,Fort M,Fort McMurray
1942,Fort,FortMcMurray
1943,Fort M,Fort McMurray
1944,Alberta,Albertas
1945,fort M,fort Mcmurray
1946,M,McMurray Wildfires
1947,Fort M,Fort McMurray
1948,Fort M,Fort McMurray
1949,Fort M,Fort McMurray
1950,Penn,Penniac
1951,Fort,FortMcMurray
1952,Fort M,Fort McMurray
1953,Fort M,Fort McMurray
1954,man,manitoba
1955,Fort M,Fort McMurray
1956,Ka,Kamloops
1957,Fort M,Fort McMurray
1958,Cal,Calgry
1959,Fort M,Fort McMurray
1960,Fort,FortMcMurray
1961,Fort,FortMcMurray
1962,Fort M,Fort McMurray
1963,M,McMurray
1964,At,Attawapiskat
1965,Fort,FortMcMurray
1966,Fort M,Fort McMurray
1967,Alberta Canada,Alberta Canada
1968,Fort M,Fort McMurray
1969,Fort M,Fort McMurray
1970,Fort M,Fort McMurray
1971,Fort M,Fort McMurray
1972,Fort M,Fort McMurray
1973,Canada,Canadas
1974,Fort M,Fort McMurray
1975,Lamb,Lambton
1976,Fort M,Fort McMurray
1977,Fort M,Fort McMurray
1978,Fort,FortMcMurray
1979,Fort,FortMcMur
1980,Fort,FortMcMurray
1981,Fort,FortMcMurray
1982,Fort M,Fort McMurray
1983,Fort,FortMcMurray
1984,Fort M,Fort McMurray
1985,Fort M,Fort McMurray
1986,Fort M,Fort McMurray
1987,Fort M,Fort McMurray
1988,Fort M,Fort McMurray
1989,p,powellriver
1990,Reg,Regi
1991,ca,calgary
1992,Fort M,Fort McMurray
1993,Fort,FortMcMurray
1994,Fort,FortMcMurray
1995,Fort M,Fort McMurray
1996,Canada,Canadas
1997,F M,Ft McMurray
1998,Fort M,Fort McMurray
1999,Alberta Canada,Alberta Canada
2000,Fort M,Fort McMurray
2001,Fort,FortMcMurray
2002,Alberta,Albertas
2003,Fort,FortMcMurray
2004,Fort M,Fort McMurray
2005,Fort M,Fort McMurray
2006,Fort M,Fort McMurray
2007,CA,CALGARY
2008,TO,TORONTO
2009,Fort M,Fort McMurray
2010,Fort M,Fort McMurray
2011,Fort,FortMcMurray
2012,Fort M,Fort McMurray
2013,Fort,FortMcMurray
2014,AL,ALBERTA
2015,Fort,FortMcMurray
2016,F. Mac,Ft. Macmurray
2017,Fort M,Fort McMurray
2018,Fort M,Fort McMurray
2019,Alberta,Albertas
2020,At,Attawapiskat
2021,Fort,FortMcMurray
2022,Fort,FortMcMurray
2023,Canada,Canadas
2024,Dick,Dickinsfield
2025,Fort M,Fort McMurray
2026,Fort M,Fort McMurray
2027,Fort M,Fort McMurray
2028,Fort M,Fort McMurray
2029,Fort M,Fort McMurry
2030,al,alberta
2031,Fort M,Fort McMurray
2032,Fort M,Fort McMurray
2033,Fort M,Fort McMurray
2034,Fort M,Fort McMurray
2035,O,OConnor Rd
2036,Ka,Kamloops
2037,Fort M,Fort McMurray
2038,Fort M,Fort McMurray
2039,TO,TORONTO
2040,Fort M,Fort McMurray
2041,Little S,Little Smoky
2042,Fort,FortMcMurray
2043,Fort M,Fort McMurray
2044,Fort M,Fort McMurray
2045,Fort M,Fort McMurray
2046,Fort M,Fort McMurray
2047,Fort,FortMcMurray
2048,Fort M,Fort McMurray
2049,Fort M,Fort McMurray
2050,Fort,FortMcMurray
2051,Fort M,Fort McMurray
2052,Canada,Canadas
2053,Fort M,Fort McMurray
2054,MA,MANITOBA
2055,Fort M,Fort McMurr
2056,Fort M,Fort McMurray
2057,Fort M,Fort McMurray
2058,Bo,Boreal
2059,Fort M,Fort McMurray
2060,Fort M,Fort McMurray
2061,Fort M,Fort McMurray
2062,Fort M,Fort McMurray
2063,Fort M,Fort McMurray
2064,Fort,FortMcMurray
2065,Fort M,Fort McMurrary
2066,Fort,FortMcMurray
2067,Fort M,Fort McMurray
2068,Alberta Canada,Alberta Canada
2069,Fort M,Fort McMurray
2070,Fort M,Fort McMurray
2071,al,alberta
2072,Fort M,Fort McMurray
2073,al,alberta
2074,Fort M,Fort McMurray
2075,Canadian,Canadian city
2076,M,McMurray Wildfire Fund
2077,Fort M,Fort McMurray
2078,Fort M,Fort McMurray
2079,Fort M,Fort McMurray
2080,Fort M,Fort McMurray
2081,Fort M,Fort McMurray
2082,Fort,FortMcMurray
2083,Canada,Canadas
2084,Fort M,Fort McMurray
2085,Fort M,Fort McMurray
2086,AL,ALBERTA
2087,Manitoba Ontario,Manitoba Ontario
2088,Manitoba Ontario,Manitoba Ontario
2089,Fort M,Fort McMurray
2090,Fort M,Fort McMurray
